<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	20:25:00	2348.77	2349.08	2347.37	2348.60	602	0	4
2024.06.03	20:30:00	2348.63	2349.49	2347.70	2348.12	422	0	4
2024.06.03	20:35:00	2348.18	2350.58	2347.89	2350.58	387	0	4
2024.06.03	20:40:00	2350.56	2350.56	2348.38	2348.76	364	0	4
2024.06.03	20:45:00	2348.78	2348.89	2346.80	2348.06	341	0	4
2024.06.03	20:50:00	2348.09	2348.13	2346.10	2348.02	359	0	4
2024.06.03	20:55:00	2348.02	2348.93	2347.56	2348.41	365	0	5
2024.06.03	21:00:00	2348.41	2348.93	2348.20	2348.54	278	0	4
2024.06.03	21:05:00	2348.55	2348.64	2347.64	2347.95	288	0	4
2024.06.03	21:10:00	2347.96	2348.16	2346.55	2346.74	313	0	6
2024.06.03	21:15:00	2346.76	2348.05	2346.64	2347.85	325	0	4
2024.06.03	21:20:00	2347.85	2349.44	2347.64	2349.04	318	0	6
2024.06.03	21:25:00	2349.04	2349.13	2348.04	2348.76	331	0	6
2024.06.03	21:30:00	2348.77	2349.17	2348.16	2348.28	210	0	6
2024.06.03	21:35:00	2348.28	2348.41	2346.77	2347.17	235	0	4
2024.06.03	21:40:00	2347.17	2347.68	2346.95	2347.06	282	0	6
2024.06.03	21:45:00	2347.06	2348.29	2347.06	2347.88	225	0	6
2024.06.03	21:50:00	2347.89	2348.48	2347.57	2347.98	256	0	5
2024.06.03	21:55:00	2348.03	2348.49	2347.78	2348.28	255	0	5
2024.06.03	22:00:00	2348.28	2349.10	2347.89	2348.79	225	0	4
2024.06.03	22:05:00	2348.69	2348.90	2347.17	2347.60	267	0	4
2024.06.03	22:10:00	2347.60	2348.20	2346.97	2347.99	206	0	4
2024.06.03	22:15:00	2347.89	2348.20	2346.70	2346.71	175	0	4
2024.06.03	22:20:00	2346.71	2347.11	2346.11	2346.49	180	0	4
